ID,Filename,Output File,Status,Method,Created,Duration (s),Size (KB),Gender,Language,Surrogate,Error
843,call_20241115_001.wav,anonymized_20260212_141809_971.wav,completed,both,2026-02-12 14:18:03,6.62,4568.2,female,english,english_female_person_PERSON,
842,call_20241115_001.wav,anonymized_20260212_141724_136.wav,completed,both,2026-02-12 14:17:22,1.55,4568.2,female,english,english_female_person_PERSON,
841,call_20241017_007.wav,anonymized_20260212_141716_320.wav,completed,both,2026-02-12 14:17:11,4.97,3869.7,male,english,english_male_location_LOCATION,
840,call_20241017_007.wav,anonymized_20260212_141605_235.wav,completed,both,2026-02-12 14:16:00,5.25,3869.7,male,english,english_male_location_LOCATION,
839,call_20230324_001.wav,anonymized_20260212_141411_932.wav,completed,both,2026-02-12 14:14:09,2.82,3174.1,male,english,english_male_location_LOCATION,
838,call_20241115_001.wav,anonymized_20260212_141328_562.wav,completed,both,2026-02-12 14:13:27,0.97,4568.2,female,english,english_female_person_PERSON,
837,call_20230324_001.wav,anonymized_20260212_141315_780.wav,completed,both,2026-02-12 14:13:12,3.44,3174.1,male,english,english_male_location_LOCATION,
836,call_20241017_007.wav,anonymized_20260212_141252_450.wav,completed,both,2026-02-12 14:12:48,3.68,3869.7,male,english,english_male_location_LOCATION,
835,call_20241115_001.wav,anonymized_20260212_141124_588.wav,completed,both,2026-02-12 14:11:23,0.91,4568.2,female,english,english_female_person_PERSON,
834,call_20241115_001.wav,anonymized_20260212_140807_976.wav,completed,both,2026-02-12 14:08:01,6.44,4568.2,female,english,english_female_person_PERSON,
833,call_20241015_002.wav,anonymized_20260212_140435_211.wav,completed,both,2026-02-12 14:04:32,2.92,2693.2,male,english,english_male_person_PERSON,
832,call_20241015_002.wav,anonymized_20260212_140339_536.wav,completed,both,2026-02-12 14:03:37,2.53,2693.2,male,english,english_male_person_PERSON,
831,call_20241015_002.wav,anonymized_20260212_140156_269.wav,completed,both,2026-02-12 14:01:55,1.25,2693.2,male,english,english_male_person_PERSON,
830,call_20241112_004.wav,anonymized_20260212_134417_194.wav,completed,both,2026-02-12 13:44:11,7.36,4624.7,male,english,english_male_person_PERSON,
829,call_20241014_003.wav,anonymized_20260212_134314_888.wav,completed,both,2026-02-12 13:43:10,4.08,3922.5,male,english,english_male_person_PERSON,
828,call_20241014_003.wav,anonymized_20260212_134217_541.wav,completed,both,2026-02-12 13:42:13,3.98,3922.5,male,english,english_male_person_PERSON,
827,call_20241112_004.wav,anonymized_20260212_134044_118.wav,completed,both,2026-02-12 13:40:38,6.49,4624.7,male,english,english_male_person_PERSON,
826,call_20241014_003.wav,anonymized_20260212_133946_627.wav,completed,both,2026-02-12 13:39:43,3.15,3922.5,male,english,english_female_person_PERSON,
825,call_20241112_004.wav,anonymized_20260212_133819_455.wav,completed,both,2026-02-12 13:38:13,6.41,4624.7,male,english,english_male_person_PERSON,
824,call_20241112_004.wav,anonymized_20260212_133438_923.wav,completed,both,2026-02-12 13:34:33,5.81,4624.7,male,english,english_male_person_PERSON,
823,call_20241112_004.wav,anonymized_20260212_133341_802.wav,completed,both,2026-02-12 13:33:36,5.85,4624.7,male,english,english_male_person_PERSON,
822,call_20241011_001.wav,anonymized_20260212_133313_468.wav,completed,both,2026-02-12 13:33:09,4.11,4399.1,male,english,english_male_person_PERSON,
821,call_20241112_004.wav,anonymized_20260212_133252_207.wav,completed,both,2026-02-12 13:32:51,1.17,4624.7,male,english,english_male_person_PERSON,
820,call_20241011_001.wav,anonymized_20260212_133103_009.wav,completed,both,2026-02-12 13:30:57,5.49,4399.1,male,english,english_male_person_PERSON,
819,call_20241112_004.wav,anonymized_20260212_132507_620.wav,completed,both,2026-02-12 13:24:59,7.95,4624.7,male,english,english_male_person_PERSON,
818,call_20241010_003.wav,anonymized_20260212_132123_811.wav,completed,both,2026-02-12 13:21:20,3.11,3032.5,female,english,english_female_person_PERSON,
817,call_20241010_003.wav,anonymized_20260212_132041_695.wav,completed,both,2026-02-12 13:20:38,3.33,3032.5,female,english,english_female_person_PERSON,
816,call_20241010_003.wav,anonymized_20260212_132007_078.wav,completed,both,2026-02-12 13:20:02,4.17,3032.5,female,english,english_female_person_PERSON,
815,call_20241010_003.wav,anonymized_20260212_131946_583.wav,completed,both,2026-02-12 13:19:43,2.92,3032.5,female,english,english_female_person_PERSON,
814,call_20241010_003.wav,anonymized_20260212_131938_496.wav,completed,both,2026-02-12 13:19:35,2.75,3032.5,female,english,english_female_person_PERSON,
813,call_20241010_003.wav,anonymized_20260212_131903_004.wav,completed,both,2026-02-12 13:18:59,3.62,3032.5,female,english,english_female_person_PERSON,
812,call_20241008_009.wav,anonymized_20260212_130946_965.wav,completed,both,2026-02-12 13:09:42,4.43,3779.1,female,english,english_female_location_LOCATION,
811,call_20241004_002.wav,anonymized_20260212_130044_569.wav,completed,both,2026-02-12 13:00:41,3.58,3070.7,female,english,english_female_person_PERSON,
810,call_20241004_002.wav,anonymized_20260212_130009_325.wav,completed,both,2026-02-12 13:00:03,6.10,3070.7,female,english,english_female_person_PERSON,
809,call_20241004_002.wav,anonymized_20260212_125945_464.wav,completed,both,2026-02-12 12:59:42,3.39,3070.7,female,english,english_female_person_PERSON,
808,call_20241114_003.wav,anonymized_20260212_125904_946.wav,completed,both,2026-02-12 12:58:59,5.03,4124.4,male,english,english_male_person_PERSON,
807,call_20241004_002.wav,anonymized_20260212_125812_319.wav,completed,both,2026-02-12 12:58:08,3.46,3070.7,female,english,english_female_person_PERSON,
806,call_20241114_003.wav,anonymized_20260212_125803_450.wav,completed,both,2026-02-12 12:58:01,1.83,4124.4,male,english,english_male_person_PERSON,
805,call_20241114_003.wav,anonymized_20260212_125718_863.wav,completed,both,2026-02-12 12:57:14,4.77,4124.4,male,english,english_male_person_PERSON,
804,call_20241004_002.wav,anonymized_20260212_125635_309.wav,completed,both,2026-02-12 12:56:32,3.09,3070.7,female,english,english_female_person_PERSON,
803,call_20241004_002.wav,anonymized_20260212_125547_004.wav,completed,both,2026-02-12 12:55:43,3.61,3070.7,female,english,english_female_person_PERSON,
802,call_20241004_002.wav,anonymized_20260212_125412_594.wav,completed,both,2026-02-12 12:54:09,3.11,3070.7,female,english,english_female_person_PERSON,
801,call_20241106_006.wav,anonymized_20260212_124932_992.wav,completed,both,2026-02-12 12:49:28,4.59,3689.7,female,english,english_female_location_LOCATION,
800,call_20241106_006.wav,anonymized_20260212_124826_794.wav,completed,both,2026-02-12 12:48:21,5.17,3689.7,female,english,english_female_location_LOCATION,
799,call_20241106_006.wav,anonymized_20260212_124701_362.wav,completed,both,2026-02-12 12:46:57,4.07,3689.7,female,english,english_female_location_LOCATION,
798,call_20241106_006.wav,anonymized_20260212_124529_666.wav,completed,both,2026-02-12 12:45:25,4.04,3689.7,female,english,english_female_location_LOCATION,
797,call_20241003_003.wav,anonymized_20260212_124432_902.wav,completed,both,2026-02-12 12:44:25,7.35,7205.7,female,english,english_female_person_PERSON,
796,call_20241003_003.wav,anonymized_20260212_124415_665.wav,completed,both,2026-02-12 12:44:08,7.55,7205.7,female,english,english_female_person_PERSON,
795,call_20241106_006.wav,anonymized_20260212_124256_625.wav,completed,both,2026-02-12 12:42:52,4.12,3689.7,female,english,english_female_location_LOCATION,
794,call_20241003_003.wav,anonymized_20260212_124100_768.wav,completed,both,2026-02-12 12:40:52,8.09,7205.7,female,english,english_female_person_PERSON,
793,call_20241106_004.wav,anonymized_20260212_123520_531.wav,completed,both,2026-02-12 12:35:18,1.72,1701.9,female,english,english_female_person_PERSON,
792,call_20241003_003.wav,anonymized_20260212_123518_697.wav,completed,both,2026-02-12 12:35:10,8.34,7205.7,female,english,english_female_person_PERSON,
791,call_20241106_004.wav,anonymized_20260212_123450_810.wav,completed,both,2026-02-12 12:34:50,0.16,1701.9,female,english,english_female_person_PERSON,
790,call_20241126_003.wav,anonymized_20260212_123057_207.wav,completed,both,2026-02-12 12:30:47,9.77,5533.8,female,english,english_female_person_PERSON,
